cell_type	COMET_0003M1	COMET_0005M1	COMET_0008M2	COMET_0027M1	COMET_0071M1	COMET_0111M1	COMET_0122M2	COMET_0134	COMET_0138	COMET_0145	COMET_0151	COMET_0169	COMET_0172	COMET_0182	COMET_0190M3	COMET_0192	COMET_0233M2	COMET_0255	COMET_0272	COMET_0277M1	Lme_0015	Lme_0017	Lme_0027M1_1	Lme_0033M1_2	Lme_0042M1_2	Lme_0047M1_2	Lme_0072M1_2	Lme_0078M1_1	Lme_0081M1_1	Lme_0087	Lme_0098	Lme_0110	Lme_0067	Lme_0101	Lme_0095	PC_0234M1	PC_0256M1	PC_0422M1	PC_0574M1	PC_0344M1
B cell naive	0.0711056743046635	0.0213933679159821	0	0.0026043269671688	0.0409863138598076	0.0683786153585599	0.0186016032002701	0.00477933463501664	0.00273119096490696	0.0588838955285734	0.00183144735968838	0	0.025264897606189	6.81214814211177e-4	0.00326179892263116	0.00499734302132649	0	0	0	0	0.0894481427469957	0.0503857351978995	0	0.00691364244382139	0.00293279494208899	0.252830657359196	0.130609999911621	0.108882509159091	0.0325302876644614	0.00183668529116302	0	0.273621899007159	0.183368620623803	0.20356922518476	0.00527025029250825	0	0	0.175476783879086	0.0375091364992646	0.00590570559626795
B cell memory	0	0	0.00200128502428704	0.0573519134322713	0	0	0	0.00570575173919184	0.0055909866853568	0	0.0308465369213389	0.0230547304353404	0	0.011848366205126	0.00800757115963348	0.0154081821806006	0	0.00574334490605618	0.0194221291960125	0.00447851898624306	0	0	0.0298641291284692	0	0.00162764838759251	0	0	0	0.00207973717485169	0.00566332423559313	0.0176293886243357	0	0	0	0	0.0296027989729601	0.0117259363802799	0	0	0.0177667890003835
B cell plasma	0.0421904923469703	0.00952957074046184	0	0.0522694029850123	0.0371500593774445	0.0475110424369728	0.0032946284809522	0.0469775869439646	0.0129115953293361	0.0446914785101904	0.00900430993270213	0.0175254551526508	0.03461156583086	0	0	0	6.36174033195757e-4	0.026510193703047	0.00789570010252822	0.0516462305876172	0.0977995773286576	0.0673962677305259	0.0239757647507076	0.00374581634004184	0.0707261361036932	0.255628861007005	0.126741564141486	0.0808034557669251	0.10171088052693	0	0.0313383532651347	0.213078962120091	0.249547369945391	0.0785659205712406	0	0	0.00138464434657035	0.0187328654161795	0.0119892463078406	0.037356857325538
T cell CD8+	0.18360759539973	0.363122702909606	0.0119018315205296	0.0811531974020099	0.0639369970427417	0.162915852105606	0.0590571135624768	0.041627127002961	0.00851945749460711	0.248265605790543	0.0333213469213704	0.0435433181681614	0.0867538012771575	0.117317855560701	0.019506029030698	0.0336119197500227	0.0719300005553758	0.073248690658658	0.0108103017116166	0.100000151914124	0.0897673884373063	0.0703097943628265	0.0650106302022655	0.0249247765100795	0.0477802367761048	0.182746274539675	0.114096088032236	0.362810631286574	0.0710878159918887	0	0.0449715750679108	0.424504218796232	0.414727538776356	0.226290581713473	0.114621324575231	0.0236632232379817	0.0115258653648923	0.211834766898678	0.259803663546367	0.13823613799903
T cell CD4+ naive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00888017932909257	0	0	0	0	0	0	0	0	0	0
T cell CD4+ memory resting	0.316708810787393	0	0.00854424668821258	0.0586357624318855	0.200496689225776	0.106600091743517	0.0167003755311632	0.112259799803353	0	0.219271744703282	0.0442340357108307	0.0797610873609586	0.0875687880705471	0	0.0119080502759599	0.0255087204568119	0.0205847158535048	0.0121351247294575	0.0226437413280737	0.122422631427036	0.00213499641448906	0.0170767627870593	0.062695861570586	0	0.083856921059501	0.098163864727069	0	0.223681069969138	0.0608543450259658	0.0224775469738686	0.0110503657104096	0.216725374832798	0.290748605524629	0.169562284068115	0.138751893135784	0.0353770591332834	0.0124829233231313	0.337350180902176	0.0721738347012052	0.158013983313162
T cell CD4+ memory activated	0	0.118908241722081	0	0	0	0.0347518053327137	0	0	0	0	0	0	0	0.0281198632948596	0.0254695017312695	0.0162068744724819	0	0	0	0	0	0.00746111390987674	0	0.0262584032264916	0	0.0321859313579446	0	0.0255565769418362	0	0.00878824002705208	0.0060744614476835	0.0102649011310289	0.0801659718208176	0.00261558522454125	0.00385937768271388	0	0	0	0	7.89503893120179e-4
T cell follicular helper	0.0118911496335073	0.0612762916107383	0.0154110167649357	0.0841550652021436	0.0509154677738401	0.0195371229924101	0.056140466056536	0.0294594707818213	0.00603024679645632	0.172639326490971	0.00341664185068725	0.0504541212128818	0	0	0.00510072565234902	0.0110703851573086	0.020335297113338	0.0312013224976874	0.0116647114347786	0.0405897768642135	0.0865755656814066	0.0369267028682122	0.0314569615380702	0.00337194975160307	0.0172115438283247	0.106401432682997	0.169238829955038	0.104918301636022	0.089914804418052	0	0.0384223032657466	0.127837376591834	0.192668433947475	0.111572306552251	0.0423274571867592	0.00892761181349598	0.00192322269502565	0.135588358213313	0.108729258240865	0.0117769546988801
T cell regulatory (Tregs)	0.017998332408865	0.0258994928535862	6.59364548870906e-4	0.0417706606639441	0.0240028506394265	0.0206625732465958	0.00554717937100941	0.0250225563185163	0.00134478838457027	0.0550675770362567	0	0.0266471274760871	0.0109225322282073	0.0251657747861398	0.0240351788280248	0.0374195085907083	0	0.0265341737953996	0.00823602361630504	0.0335737009144862	0.00486518205987759	0	0.0261471433190717	0.0211018642852775	0.0280404786288247	0.0553681675752873	0	0.060841647569245	0.0131944938547495	0	0	0.0978419991628022	0.0470079044970366	0.0738324141826465	0	0.0217716020700722	0.00918577990554556	0.142952492938686	0.0381989564277311	0.0300550849082791
T cell gamma delta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00834020288490388	0	0	0	0	0.0137703452146628	0	0
NK cell resting	0.00629413458794918	0	0.0122923217645337	0.0251450379348763	0	0.0494223758815564	0	0	0	0	0	0	1.58200650228909e-4	0.01234331557089	0.0934959381716362	0.0448370789460063	0	0	0	0	0	0.00363796690817946	0	0.0371642132786261	0	0.0468824734275559	0.018030735251271	0.0850404970712694	0	0.0311427607948322	0.0253564009189611	0.0413824529739246	0.0352974910216651	0.0284799572263436	0	0.0155948907599362	0	0	0	0
NK cell activated	0	0.049662518517586	0	0	0.0226110820654222	0	0.0259002508933635	0.00641522584366145	0.0060427128698705	0.103856570139778	0.00978436253486824	0.0131668629006824	0.00982893474420161	0	0	0	0	0.0262238066967257	0.0221271285956644	0.0651140449828407	0.0293660623005352	0.00661795237690902	0.0232156267086062	0	0.0570239713944513	0	0.0166813886336042	0.00200843986027437	0.00844934744069334	0.012701214694071	0	0	0	0	0.0661491484512746	0	0.00632532367197009	0	0.0152043588472258	0.00597432916686627
Monocyte	0	8.89071039227923e-4	0	0	0	0.0276592878828454	0.00363997101648871	0	0	0.00410888154119022	0	0	0.00836938691377781	0.00554393296636612	0	0	0.0110993931725493	0.00478087725120829	0.00124070690791807	0.00581306966765062	0	0	0	0.00193230646585396	0	0.0198601559934608	0.00102448858891861	0.0273518234114053	0	0.00108656836625187	0	0	0	0.0158505518690776	0.0145734455327406	0	0	0	0.0398853612700707	0
Macrophage M0	0.784389721135441	0	0.159396291014042	0.249799168158968	0.090162863467444	0.14314931070294	0.058324258633018	0.408180697636056	0.0462300535699219	0.195057572451484	0.250257678779885	0.223921973131755	0	0.127830399773533	0.326192648121426	0.587756995783045	0.109987392319504	0.0182297753701124	0.0537951951386833	0.0245513995970395	0.0770262185075747	0.0226200583849715	0.482023765714843	0.287296320273978	0.183227649287704	0.0690709971198986	0.0811804439917511	0.0172910745706551	0.104934312025655	0.310564428977417	0.156488230240792	0.212393675425241	0.12058732288991	0.095199420799658	0.0194438905457437	0.356187918853656	0.327151575336157	0.0642831394656423	0.1881003387783	0.267283976868895
Macrophage M1	0.1362523459139	0.0455319458677791	0.00929180771532515	0.0503693560638799	0.106053311303055	0.124729803998513	0.00647529252711764	0.0431186734190818	0.00368166399472811	0.229384739756819	0.018325983949007	0.0823369273528541	0.053417881940701	0.0444657998475817	0.0269193495303586	0.0108824924796408	0.0268610599244566	0.00557147177143153	0.0129737362518678	0.0146051808908402	0.0237641938528718	0.00796613382999488	0.0326177024273389	0	0.0172205255929013	0.0144755747537962	0.045340330303607	0.0824918430350245	0.0741437504770089	0.00548373975464815	0.0332142113430234	0.200665404662885	0.22511030463448	0.0812656209351251	0.0631148755445887	0	0.00146344337509479	0.0845318292849858	0.0389001058992454	0.0359394339630555
Macrophage M2	0.372380237535058	0.144904549494882	0.127570909188717	0.292359347970513	0.343465191255492	0.34835571574216	0.042061736375006	0.0920502758763759	0.0414465275307536	0.191133690519237	0.142636156039622	0.0459682731741204	0.118647861233434	0.117850706054905	0.154843753945646	0.351643658631731	0	0.0672763347907944	0.0520565370148859	0.0846044659905163	0.22305022023838	0.0722600261900358	0.340699661399939	0.0704334566006296	0.117366454709727	0.060287031211232	0.221835383991052	0.218461667405884	0.183780883262482	0.332855877910831	0.115912832824846	0.413521841855114	0.284536867968741	0.601578488047849	0.0667060098490422	0.263105760811845	0.080988151923772	1.42520719385997	0.229770831887661	0.338735088378523
Myeloid dendritic cell resting	0	0.0094944247566475	0	0	0.0906270190980427	0.0099563529770809	0	0	0	0.0283898486594385	0	0	0.0067105006180292	0	0.00436844130276724	0	0.00569414592575	7.06827385872967e-4	9.07794699122988e-4	0.0169950544302264	0.015614546648513	0.00211046761757755	0	0	0	0	0.0300991986467148	0.0692593051336108	0.0101887840015478	0	0	0.0343360360553791	9.11595723669485e-4	0.0111899689311273	0.00951236943608354	0	0	0.093601669471972	0.0116314877974396	0
Myeloid dendritic cell activated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00157209308668848	0	0	0	0	0	0.00200687502520751	0	0	0	0	0	0	0	0.0213368793363326	0	0	0	0
Mast cell activated	0	0.00758982257142262	0	0.0270362607873274	0	0	0	0	0.0059582763794923	0	0	0	0.0301791488866662	0.018236771125687	0	0	0	0.00581901348622071	0.00445488245924402	0.00928777374716601	0.0229750945294366	0	0.0171142532401029	0	0.0154861392890867	0	0.0497796938327206	0	0	0.02632543364518	0	0.0491148573855125	0.042959982082636	0.111770804391576	0	0	0	0	0.0630188735570977	0.0218284185182371
Mast cell resting	0.120056005946523	0	0.0277364257705463	0	0.0305002006067698	0.0693610495985288	0.00571010241657623	0	0	0.00271634177218826	0	0.0374161236345075	0	0	0.0266785133275997	0.109935304599193	0.0210804128569408	0	0	0	0	0.0104894247492432	0	0.0722462508235977	0	0.115145578244882	0	0.0203102821578372	0.0145015815057348	0	0.0292123080519624	0	0.0252737876584863	0	0.0552726816743742	0.017309755010437	0.0116471336775606	0.101453819879861	0	0
Eosinophil	0	0	0	0	0	0	0.00532702193602212	0	0	0	0	0	0	0	0	0	0.00338490824538537	0.00791125001166502	0.00471391154329882	0	0	0	0	0	0	0	0.0812982979215936	0	0.00395997662997926	0	0	0	0	0	0.00133277609315609	0	0	0	0.0174110462396863	0
Neutrophil	0	0	0	0	0.00363745428473815	0	0	0	0	0.00133122710004776	0	0	0	0	0	0.00563753593112401	0	0.00591929294566341	0	0	0.00303781125395605	0	0	0	0	0	0.00592755679838585	0	0	0	0.00136956923919412	0	0	2.63870302216127e-4	0	0	0	0.0197385545747875	0	5.2723636976285e-4
